time_step,time_hour,household_scaling,ev_requested_scaling,ev_scaling,hp_requested_scaling,hp_scaling,min_voltage,max_loading,control_iterations
62,15.5,0.49747612811292163,0.0,0.0,0.4,0.4,0.9582634003599405,16.330154160690597,0
63,15.75,0.5003382220876874,0.0,0.0,0.4,0.4,0.9580132923195104,16.42100207074998,0
64,16.0,0.5079695735090254,0.0,0.0,0.4,0.4,0.9573458102738364,16.663432622886816,0
65,16.25,0.5214953181945534,0.0,0.0,0.4,0.4,0.9561605966994867,17.093824591395773,0
66,16.5,0.5418229494061217,0.0,0.0,0.4,0.4,0.9543740929104058,17.742371944347607,0
67,16.75,0.5694225164922309,0.0,0.0,0.4,0.4,0.9519382644321916,18.62626105589296,0
68,17.0,0.6040975016647975,0.0,0.0,1.0,1.0,0.9467012893770954,21.52857918438074,0
69,17.25,0.6447918178769566,0.0,0.0,1.0,1.0,0.943225246993453,22.854222317091136,0
70,17.5,0.689485792046018,0.0,0.0,1.0,1.0,0.9393786250509873,24.320535065209075,0
71,17.75,0.7352292412349796,0.0,0.0,1.0,1.0,0.9354096083387275,25.832750855673154,0
72,18.0,0.7783404306892727,1.0,0.2,1.0,0.7224999999999999,0.9301617681792083,28.087672970728416,9
73,18.25,0.8147676550985352,1.0,0.2,1.0,0.6141249999999999,0.9274837075912253,28.979374344030322,10
74,18.5,0.8405719461034014,1.0,0.2,1.0,0.6141249999999999,0.9251922757019128,29.850699977511713,10
75,18.75,0.8524549759497491,1.0,0.2,1.0,0.6141249999999999,0.9241332799257715,30.253294017972042,10
76,19.0,0.8482361909794959,1.0,0.2,1.0,0.6141249999999999,0.9245095254199733,30.110265108552948,10
77,19.25,0.8271851472923424,1.0,0.2,1.0,0.6141249999999999,0.9263824248328612,29.398175503318523,10
78,19.5,0.7901404980743938,1.0,0.2,1.0,0.6141249999999999,0.9296615446496242,28.150989711909197,10
79,19.75,0.7393905429007634,1.0,0.32768000000000014,1.0,1.0,0.9303828096782804,28.706886773257168,5
80,20.0,0.6783404306892727,1.0,0.6400000000000001,1.0,1.0,0.9312826776698224,29.29941493163951,2
81,20.25,0.6110345687850305,1.0,1.0,1.0,1.0,0.9320402883258488,30.11112577909027,0
82,20.5,0.5416282678002635,1.0,1.0,1.0,1.0,0.9380853800772121,27.81692576464386,0
83,20.75,0.4739045904537172,1.0,1.0,1.0,1.0,0.9439117061568663,25.606474535775313,0
84,21.0,0.4109123364069839,1.0,1.0,1.0,1.0,0.9492690854202572,23.575226969841278,0
85,21.25,0.35476666193580303,1.0,1.0,1.0,1.0,0.9539954248649308,21.78493216905231,0
86,21.5,0.3066155948748568,1.0,1.0,1.0,1.0,0.9580131620381577,20.264895136755847,0
87,21.75,0.266743657690244,1.0,1.0,1.0,1.0,0.9613177840926155,19.016448004483394,0
88,22.0,0.23476449275213768,1.0,1.0,1.0,1.0,0.9639505307179531,18.023223133927342,0
89,22.25,0.20984962717722924,1.0,1.0,0.4,0.4,0.9687678012012207,15.452167525157973,0
90,22.5,0.2,1.0,1.0,0.4,0.4,0.9695683567645971,15.15040722503937,0
91,22.75,0.2,1.0,1.0,0.4,0.4,0.9695683567645971,15.15040722503937,0
92,23.0,0.2,1.0,1.0,0.4,0.4,0.9695683567645971,15.15040722503937,0
93,23.25,0.2,1.0,1.0,0.4,0.4,0.9695683567645971,15.15040722503937,0
94,23.5,0.2,1.0,1.0,0.4,0.4,0.9695683567645971,15.15040722503937,0
95,23.75,0.2,1.0,1.0,0.4,0.4,0.9695683567645971,15.15040722503937,0
